t,seq,v_cmd,w_cmd,omega_meas_l,omega_meas_r,yaw,yaw_rate,wE_l,wE_r,e_psi_deg,r_err_dps,sigma_err,dw_yaw,lam,omega_ref_l,omega_ref_r,pwm_l,pwm_r,vbat,fault_flags
1.5445,108,0.10808185480000247,0.0,3.79937,1.90278,0.16935,0.0,3.3256,3.3256,-9.70321,0.0,0.20297,-0.93045,0.98241,4.19753,2.33663,0.18416933715343475,0.11076687276363373,0.0,0
1.5545,109,0.10907912680004302,0.0,3.80739,1.90391,0.16935,0.0,3.35628,3.35628,-9.7032,0.0,0.20371,-0.93045,0.98229,4.2273,2.3664,0.1846865713596344,0.11178654432296753,0.0,0
1.5644,110,0.11007890620003308,0.0,3.80739,1.90391,0.16935,0.0,3.38704,3.38704,-9.7032,0.0,0.20371,-0.93045,0.98229,4.25752,2.39662,0.1846865713596344,0.11178654432296753,0.0,0
1.5744,111,0.11107833370006119,0.0,3.87097,1.90399,0.16935,0.0,3.41779,3.41779,-9.7032,0.0,0.2105,-0.93045,0.98126,4.28419,2.42329,0.1815880388021469,0.11285673826932907,0.0,0
1.5845,112,0.11207928350004294,0.0,3.87097,1.90399,0.16935,0.0,3.44859,3.44859,-9.7032,0.0,0.2105,-0.93045,0.98126,4.31441,2.45351,0.1815880388021469,0.11285673826932907,0.0,0
1.5944,113,0.11307871290000548,0.0,3.81241,2.3659,0.16935,0.0,3.47935,3.47935,-9.7032,0.0,0.1548,-0.93045,0.989,4.3715,2.51061,0.20510926842689514,0.11064794659614563,0.0,0
1.6045,114,0.11407909600002313,0.0,3.81241,2.3659,0.16935,0.0,3.51013,3.51013,-9.7032,0.0,0.1548,-0.93045,0.989,4.40195,2.54105,0.20510926842689514,0.11064794659614563,0.0,0
1.6144,115,0.11507805130004271,0.0,3.93072,2.39834,0.16935,0.0,3.54086,3.54086,-9.7032,0.0,0.16399,-0.93045,0.98781,4.42815,2.56725,0.20039071142673492,0.11021780967712402,0.0,0
1.6244,116,0.11607823439999265,0.0,3.93072,2.39834,0.16935,0.0,3.57164,3.57164,-9.7032,0.0,0.16399,-0.93045,0.98781,4.45855,2.59765,0.20039071142673492,0.11021780967712402,0.0,0
1.6344,117,0.11707764530001441,0.0,4.34154,2.17651,0.16936,0.0,3.60239,3.60239,-9.70337,0.0,0.2317,-0.93046,0.97797,4.45348,2.59255,0.18069735169410706,0.12197748571634293,0.0,0
1.6444,118,0.11807820060002995,0.0,4.34154,2.17651,0.16936,0.0,3.63318,3.63318,-9.70337,0.0,0.2317,-0.93046,0.97797,4.48358,2.62266,0.18069735169410706,0.12197748571634293,0.0,0
